away_score,home_score,winner
17,16,away
17,13,away
6,20,home
37,3,away
27,37,home
6,30,home
26,9,away
9,26,home
14,20,home
31,28,away
20,34,home
31,13,away
10,17,home
34,37,home
12,10,away
6,0,away
24,27,home
17,42,home
17,20,home
22,30,home
33,19,away
26,25,away
27,10,away
20,30,home
3,14,home
23,10,away
15,12,away
2,27,home
26,19,away
12,38,home
17,20,home
10,22,home
20,37,home
20,26,home
10,16,home
24,17,away
13,19,home
15,12,away
10,47,home
20,15,away
17,10,away
29,42,home
17,23,home
10,36,home
13,34,home
30,27,away
24,30,home
18,26,home
30,20,away
12,7,away
26,23,away
18,26,home
16,18,home
28,27,away
19,24,home
17,30,home
22,23,home
14,11,away
42,44,home
17,19,home
21,7,away
37,27,away
13,31,home
24,26,home
24,30,home
23,19,away
23,26,home
23,14,away
23,31,home
30,35,home
31,38,home
21,31,home
19,20,home
26,17,away
20,31,home
38,3,away
12,37,home
9,24,home
27,24,away
20,3,away
23,17,away
21,16,away
20,6,away
14,40,home
38,9,away
35,16,away
33,7,away
21,23,home
25,28,home
14,19,home
32,6,away
27,24,away
33,30,away
16,25,home
28,31,home
30,28,away
28,36,home
21,18,away
20,23,home
31,34,home
3,27,home
19,28,home
24,21,away
10,17,home
0,17,home
10,41,home
31,0,away
27,20,away
24,31,home
31,34,home
22,7,away
38,30,away
20,13,away
9,19,home
38,35,away
44,21,away
42,38,away
0,24,home
19,21,home
20,12,away
23,16,away
20,17,away
16,19,home
16,9,away
31,21,away
16,22,home
10,31,home
10,23,home
36,22,away
18,21,home
26,20,away
20,16,away
19,26,home
17,47,home
11,34,home
23,20,away
27,10,away
12,19,home
