column_0,column_1,column_2,column_3,column_4
56773,1,2020-06-30T22:50:17,away,170
56773,1,2020-06-30T22:50:17,home,-200
56790,1,2020-09-21T20:07:38,away,180
56790,1,2020-09-21T20:07:38,home,-220
56790,1,2020-09-21T20:07:38,away,150
56790,1,2020-09-21T20:07:38,home,-200
56790,1,2020-09-21T20:07:38,away,150
56790,1,2020-09-21T20:07:38,home,-200
56818,2,2020-09-28T00:23:35,away,-200
56818,2,2020-09-28T00:23:35,home,163
56835,2,2020-10-14T15:19:35,away,-200
56835,2,2020-10-14T15:19:35,home,163
56843,1,2020-10-12T07:21:43,away,170
56843,1,2020-10-12T07:21:43,home,-200
56843,1,2020-10-12T07:21:43,away,130
56843,1,2020-10-12T07:21:43,home,-175
56843,2,2020-10-12T00:36:47,away,163
56843,2,2020-10-12T00:36:47,home,-200
56873,2,2020-10-26T00:07:46,away,-200
56873,2,2020-10-26T00:07:46,home,160
56877,2,2020-11-03T04:57:55,away,165
56877,2,2020-11-03T04:57:55,home,-200
56895,1,2020-11-09T18:09:43,away,150
56895,1,2020-11-09T18:09:43,home,-200
56909,1,2020-11-17T01:41:32,away,150
56909,1,2020-11-17T01:41:32,home,-200
56916,2,2020-11-16T01:25:29,away,160
56916,2,2020-11-16T01:25:29,home,-200
56924,1,2020-11-23T02:20:16,away,-200
56924,1,2020-11-23T02:20:16,home,150
56932,1,2020-11-24T08:05:23,away,-200
56932,1,2020-11-24T08:05:23,home,150
56932,1,2020-11-24T08:05:23,away,-175
56932,1,2020-11-24T08:05:23,home,130
56946,2,2020-11-30T01:09:30,away,-200
56946,2,2020-11-30T01:09:30,home,163
56969,1,2020-12-17T16:37:13,away,-200
56969,1,2020-12-17T16:37:13,home,150
56969,1,2020-12-17T16:37:13,away,-160
56969,1,2020-12-17T16:37:13,home,125
56969,2,2020-12-15T13:28:26,away,-200
56969,2,2020-12-15T13:28:26,home,165
56994,2,2020-12-21T02:55:30,away,163
56994,2,2020-12-21T02:55:30,home,-200
56995,1,2020-12-21T01:35:35,away,-200
56995,1,2020-12-21T01:35:35,home,150
57014,1,2020-12-29T14:11:40,away,-200
57014,1,2020-12-29T14:11:40,home,150
57014,1,2020-12-29T14:11:40,away,-180
57014,1,2020-12-29T14:11:40,home,130
57016,1,2020-12-28T16:18:23,away,-200
57016,1,2020-12-28T16:18:23,home,150
63193,1,2021-01-04T14:41:25,away,-200
63193,1,2021-01-04T14:41:25,home,170
63193,1,2021-01-04T14:41:25,away,-160
63193,1,2021-01-04T14:41:25,home,120
63193,1,2021-01-04T14:41:25,away,-140
63193,1,2021-01-04T14:41:25,home,105
64901,2,2021-05-22T14:02:59,away,160
64901,2,2021-05-22T14:02:59,home,-200
64907,1,2021-05-22T13:54:42,away,170
64907,1,2021-05-22T13:54:42,home,-200
64913,2,2021-05-22T14:03:05,away,160
64913,2,2021-05-22T14:03:05,home,-200
64921,1,2021-09-13T15:32:40,away,-200
64921,1,2021-09-13T15:32:40,home,170
64921,1,2021-09-13T15:32:40,away,-160
64921,1,2021-09-13T15:32:40,home,120
64930,1,2021-09-20T03:11:28,away,170
64930,1,2021-09-20T03:11:28,home,-200
64931,1,2021-09-20T00:06:32,away,159
64931,1,2021-09-20T00:06:32,home,-200
64934,1,2021-09-19T23:56:18,away,150
64934,1,2021-09-19T23:56:18,home,-200
64951,2,2021-09-26T23:23:26,away,165
64951,2,2021-09-26T23:23:26,home,-200
64971,1,2021-09-30T16:10:54,away,170
64971,1,2021-09-30T16:10:54,home,-200
64979,1,2021-10-11T01:28:22,away,170
64979,1,2021-10-11T01:28:22,home,-200
64979,1,2021-10-11T01:28:22,away,145
64979,1,2021-10-11T01:28:22,home,-165
64979,2,2021-10-10T23:53:05,away,165
64979,2,2021-10-10T23:53:05,home,-200
64988,2,2021-10-11T14:12:25,away,-200
64988,2,2021-10-11T14:12:25,home,163
64995,1,2021-10-18T00:27:25,away,170
64995,1,2021-10-18T00:27:25,home,-200
64997,1,2021-10-18T02:22:20,away,-200
64997,1,2021-10-18T02:22:20,home,170
64997,2,2021-10-17T23:53:11,away,-200
64997,2,2021-10-17T23:53:11,home,165
65002,2,2021-10-24T23:42:57,away,163
65002,2,2021-10-24T23:42:57,home,-200
65004,2,2021-10-24T23:48:00,away,163
65004,2,2021-10-24T23:48:00,home,-200
65044,1,2021-11-08T04:16:08,away,205
65044,1,2021-11-08T04:16:08,home,-245
65044,1,2021-11-08T04:16:08,away,170
65044,1,2021-11-08T04:16:08,home,-200
65070,1,2021-11-18T02:57:49,away,170
65070,1,2021-11-18T02:57:49,home,-200
65070,2,2021-11-22T00:57:07,away,163
65070,2,2021-11-22T00:57:07,home,-200
65081,1,2021-11-28T23:50:12,away,-200
65081,1,2021-11-28T23:50:12,home,170
65093,2,2021-12-06T00:56:29,away,-200
65093,2,2021-12-06T00:56:29,home,163
65115,1,2021-12-14T13:30:34,away,310
65115,1,2021-12-14T13:30:34,home,-415
65115,1,2021-12-14T13:30:34,away,205
65115,1,2021-12-14T13:30:34,home,-245
65115,1,2021-12-14T13:30:34,away,170
65115,1,2021-12-14T13:30:34,home,-200
65115,1,2021-12-14T13:30:34,away,155
65115,1,2021-12-14T13:30:34,home,-180
65150,2,2021-12-24T17:18:13,away,-200
65150,2,2021-12-24T17:18:13,home,163
65157,2,2022-01-02T02:12:43,away,-200
65157,2,2022-01-02T02:12:43,home,163
65160,1,2022-01-03T13:29:06,away,230
65160,1,2022-01-03T13:29:06,home,-280
65160,1,2022-01-03T13:29:06,away,170
65160,1,2022-01-03T13:29:06,home,-200
65311,1,2021-08-17T15:57:26,away,170
65311,1,2021-08-17T15:57:26,home,-200
65315,1,2021-08-24T14:18:23,away,170
65315,1,2021-08-24T14:18:23,home,-200
71068,1,2022-01-10T19:22:31,away,215
71068,1,2022-01-10T19:22:31,home,-260
71068,1,2022-01-10T19:22:31,away,180
71068,1,2022-01-10T19:22:31,home,-220
71068,1,2022-01-10T19:22:31,away,171
71068,1,2022-01-10T19:22:31,home,-200
71068,1,2022-01-10T19:22:31,away,140
71068,1,2022-01-10T19:22:31,home,-165
71068,1,2022-01-10T19:22:31,away,130
71068,1,2022-01-10T19:22:31,home,-150
71069,1,2022-01-10T19:22:31,away,170
71069,1,2022-01-10T19:22:31,home,-200
71069,1,2022-01-10T19:22:31,away,165
71069,1,2022-01-10T19:22:31,home,-195
71069,1,2022-01-10T19:22:31,away,140
71069,1,2022-01-10T19:22:31,home,-165
71069,1,2022-01-10T19:22:31,away,130
71069,1,2022-01-10T19:22:31,home,-150
71069,1,2022-01-10T19:22:31,away,115
71069,1,2022-01-10T19:22:31,home,-135
71069,2,2022-01-10T19:22:41,away,163
71069,2,2022-01-10T19:22:41,home,-200
71073,2,2022-01-10T19:28:17,away,163
71073,2,2022-01-10T19:28:17,home,-200
71082,2,2022-01-31T09:01:05,away,-200
71082,2,2022-01-31T09:01:05,home,163
71721,1,2022-06-14T11:29:25,away,-200
71721,1,2022-06-14T11:29:25,home,170
71721,2,2022-08-14T04:04:07,away,-200
71721,2,2022-08-14T04:04:07,home,163
71726,1,2022-09-02T23:45:05,away,-200
71726,1,2022-09-02T23:45:05,home,170
71726,1,2022-09-02T23:45:05,away,-160
71726,1,2022-09-02T23:45:05,home,135
71726,2,2022-09-02T16:00:38,away,-200
71726,2,2022-09-02T16:00:38,home,163
71733,2,2022-08-21T04:03:02,away,163
71733,2,2022-08-21T04:03:02,home,-200
71736,1,2022-06-14T11:29:32,away,-200
71736,1,2022-06-14T11:29:32,home,170
71752,1,2022-09-14T21:40:15,away,-200
71752,1,2022-09-14T21:40:15,home,170
71752,2,2022-09-13T21:39:38,away,-200
71752,2,2022-09-13T21:39:38,home,163
71759,2,2022-09-13T21:49:38,away,-200
71759,2,2022-09-13T21:49:38,home,163
71763,2,2022-09-13T21:49:38,away,163
71763,2,2022-09-13T21:49:38,home,-200
71792,1,2022-09-28T22:39:34,away,-200
71792,1,2022-09-28T22:39:34,home,170
71792,2,2022-09-27T21:17:00,away,-200
71792,2,2022-09-27T21:17:00,home,163
71809,1,2022-10-05T22:33:09,away,170
71809,1,2022-10-05T22:33:09,home,-200
71809,2,2022-10-05T07:32:45,away,163
71809,2,2022-10-05T07:32:45,home,-200
71818,2,2022-10-11T20:47:35,away,163
71818,2,2022-10-11T20:47:35,home,-200
71849,2,2022-10-25T23:41:32,away,163
71849,2,2022-10-25T23:41:32,home,-200
71866,2,2022-11-01T21:05:17,away,163
71866,2,2022-11-01T21:05:17,home,-200
71891,2,2022-11-15T22:01:20,away,163
71891,2,2022-11-15T22:01:20,home,-200
71918,2,2022-11-29T22:12:43,away,163
71918,2,2022-11-29T22:12:43,home,-200
71923,1,2022-11-30T15:13:04,away,170
71923,1,2022-11-30T15:13:04,home,-200
71962,2,2022-12-13T20:27:22,away,163
71962,2,2022-12-13T20:27:22,home,-200
72027,2,2022-12-06T22:10:32,away,163
72027,2,2022-12-06T22:10:32,home,-200
72034,2,2022-12-28T09:08:26,away,163
72034,2,2022-12-28T09:08:26,home,-200
73848,1,2022-08-25T19:29:05,away,170
73848,1,2022-08-25T19:29:05,home,-200
90509,1,2023-01-16T14:22:21,away,170
90509,1,2023-01-16T14:22:21,home,-200
90509,1,2023-01-16T14:22:21,away,130
90509,1,2023-01-16T14:22:21,home,-170
90509,2,2023-01-16T14:22:39,away,163
90509,2,2023-01-16T14:22:39,home,-200
90511,1,2023-01-17T13:39:31,away,170
90511,1,2023-01-17T13:39:31,home,-200
90511,1,2023-01-17T13:39:31,away,115
90511,1,2023-01-17T13:39:31,home,-150
90511,2,2023-01-17T13:40:03,away,163
90511,2,2023-01-17T13:40:03,home,-200
113873,2,2023-08-07T14:14:37,away,160
113873,2,2023-08-07T14:14:37,home,-200
113901,1,2023-09-17T23:29:39,away,170
113901,1,2023-09-17T23:29:39,home,-200
113901,1,2023-09-17T23:29:39,away,160
113901,1,2023-09-17T23:29:39,home,-185
113901,1,2023-09-17T23:29:39,away,140
113901,1,2023-09-17T23:29:39,home,-185
113907,1,2023-09-17T23:29:39,away,-260
113907,1,2023-09-17T23:29:39,home,215
113907,1,2023-09-17T23:29:39,away,-200
113907,1,2023-09-17T23:29:39,home,170
113907,1,2023-09-17T23:29:39,away,-185
113907,1,2023-09-17T23:29:39,home,140
113908,2,2023-09-12T20:25:51,away,160
113908,2,2023-09-12T20:25:51,home,-200
113920,1,2023-09-20T13:46:37,away,-200
113920,1,2023-09-20T13:46:37,home,170
113922,2,2023-09-20T07:47:25,away,160
113922,2,2023-09-20T07:47:25,home,-200
113955,1,2023-10-09T00:46:42,away,175
113955,1,2023-10-09T00:46:42,home,-210
113955,1,2023-10-09T00:46:42,away,150
113955,1,2023-10-09T00:46:42,home,-200
113956,1,2023-10-09T00:46:42,away,-200
113956,1,2023-10-09T00:46:42,home,170
113956,1,2023-10-09T00:46:42,away,-185
113956,1,2023-10-09T00:46:42,home,140
113989,1,2023-10-30T13:51:11,away,165
