book_name,game_pk,as_of_time,away_team_id,away_location,away_team_name,home_team_id,home_location,home_team_name,away_score,home_score,winner,away_odds,home_odds,favorite_side,favorite_odds,underdog_side,underdog_odds,fav_pl,ud_pl
DraftKings,744839,2024-06-15 23:30:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,100,-120,home,-120,away,100,0.83,-1.00
BetMGM,744839,2024-06-15 23:30:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,100,-120,home,-120,away,100,0.83,-1.00
FanDuel,744839,2024-06-16 11:00:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,102,-120,home,-120,away,102,0.83,-1.00
Bovada,744839,2024-06-16 11:00:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,-101,-119,home,-119,away,-101,0.84,-1.00
Caesars,744839,2024-06-15 23:30:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,100,-120,home,-120,away,100,0.83,-1.00
BetRivers,744839,2024-06-16 11:00:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,104,-122,home,-122,away,104,0.82,-1.00
BetOnline.ag,744839,2024-06-15 23:30:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,104,-114,home,-114,away,104,0.88,-1.00
LowVig.ag,744839,2024-06-15 23:30:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,104,-114,home,-114,away,104,0.88,-1.00
MyBookie.ag,744839,2024-06-15 23:30:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,-108,-128,home,-128,away,-108,0.78,-1.00
BetUS,744839,2024-06-15 23:30:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,104,-114,home,-114,away,104,0.88,-1.00
SuperBook,744839,2024-06-16 11:00:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,105,-115,home,-115,away,105,0.87,-1.00
WynnBET,744839,2024-06-15 23:30:00,146,Miami,Marlins,120,Washington,Nationals,1,3,home,108,-118,home,-118,away,108,0.85,-1.00
DraftKings,744840,2024-06-30 23:30:00,121,Flushing,Mets,120,Washington,Nationals,9,7,away,-115,-105,away,-115,home,-105,0.87,-1.00
BetMGM,744840,2024-06-30 23:30:00,121,Flushing,Mets,120,Washington,Nationals,9,7,away,-115,-105,away,-115,home,-105,0.87,-1.00
