mlb_game_pk,date_played,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi
744795,9/25/2024,0.71900000000000000,0.6870142771401433,0.6839999999999999,0.6909464546032587,0.7190,0.6870,0.6840,0.6909
744796,9/26/2024,0.71800000000000000,0.6785475106109189,0.68300000000000000,0.7713627205050353,0.7180,0.6785,0.6830,0.7714
744797,9/27/2024,0.75500000000000000,0.6787077591539372,0.68100000000000000,0.6352271306112991,0.7550,0.6787,0.6810,0.6352
744798,9/29/2024,0.75200000000000000,0.7080111949559516,0.68500000000000000,0.71469412287501300,0.7520,0.7080,0.6850,0.7147
744799,9/28/2024,0.75400000000000000,0.6277924371586756,0.6839999999999999,0.7244175436099798,0.7540,0.6278,0.6840,0.7244
744800,9/13/2024,0.67100000000000000,0.7677472389929889,0.6910000000000001,0.6878379773259439,0.6710,0.7677,0.6910,0.6878
744801,9/15/2024,0.6679999999999999,0.76103561616093200,0.69000000000000000,0.7385638812941642,0.6680,0.7610,0.6900,0.7386
744802,9/24/2024,0.72000000000000000,0.6491071004815665,0.6859999999999999,0.7137497802434318,0.7200,0.6491,0.6860,0.7137
744803,9/14/2024,0.6699999999999999,0.7814458632858614,0.69000000000000000,0.7806367907099183,0.6700,0.7814,0.6900,0.7806
744804,9/11/2024,0.71700000000000000,0.63793978895215900,0.6910000000000001,0.7267783160842447,0.7170,0.6379,0.6910,0.7268
744805,9/12/2024,0.67100000000000000,0.9678641253951216,0.6930000000000001,0.7197973880317232,0.6710,0.9679,0.6930,0.7198
744806,9/1/2024,0.7110000000000001,0.7089339046029262,0.69200000000000000,0.71631345095142900,0.7110,0.7089,0.6920,0.7163
744807,9/10/2024,0.71400000000000000,0.6518508657482077,0.6930000000000001,0.7371950812680296,0.7140,0.6519,0.6930,0.7372
744808,8/31/2024,0.71200000000000000,0.7014098378877773,0.69200000000000000,0.7117834432916732,0.7120,0.7014,0.6920,0.7118
744809,8/28/2024,0.77900000000000000,0.72597987362257400,0.6910000000000001,0.7505607192847117,0.7790,0.7260,0.6910,0.7506
744810,8/30/2024,0.7110000000000001,0.67059940511883100,0.69200000000000000,0.7176846920310594,0.7110,0.6706,0.6920,0.7177
744811,8/27/2024,0.78100000000000000,0.7259609177591034,0.6910000000000001,0.7870396732217209,0.7810,0.7260,0.6910,0.7870
744812,8/21/2024,0.7090000000000001,0.8806842639544958,0.6890000000000001,0.7231014020156662,0.7090,0.8807,0.6890,0.7231
744813,8/26/2024,0.77800000000000000,0.7089131312618697,0.6910000000000001,0.7145354994834122,0.7780,0.7089,0.6910,0.7145
744814,8/20/2024,0.70800000000000000,0.8185963233876603,0.69000000000000000,0.7324829639008915,0.7080,0.8186,0.6900,0.7325
744815,8/22/2024,0.7070000000000001,0.8177314925370489,0.6910000000000001,0.7930278374121649,0.7070,0.8177,0.6910,0.7930
744816,8/11/2024,0.6859999999999999,1.0558240354953528,0.68800000000000000,0.7456655981289124,0.6860,1.0558,0.6880,0.7457
744817,8/6/2024,0.7150000000000001,0.6771822034849342,0.6839999999999999,0.7328712771147524,0.7150,0.6772,0.6840,0.7329
744818,8/9/2024,0.6859999999999999,0.6733253591941701,0.6890000000000001,0.6994532075877021,0.6860,0.6733,0.6890,0.6995
744819,8/8/2024,0.7170000000000001,0.72539082039949300,0.69000000000000000,0.7236117257540081,0.7170,0.7254,0.6900,0.7236
744820,8/10/2024,0.6859999999999999,0.7497847181886247,0.68800000000000000,0.78422070984126700,0.6860,0.7498,0.6880,0.7842
744821,8/5/2024,0.71400000000000000,0.6756002159469057,0.68500000000000000,0.7799739909393348,0.7140,0.6756,0.6850,0.7800
744822,8/7/2024,0.7150000000000001,0.6496123538741012,0.69000000000000000,0.6925519711368132,0.7150,0.6496,0.6900,0.6926
744823,8/3/2024,0.73400000000000000,0.7343746871318473,0.6819999999999999,0.7411412186979561,0.7340,0.7344,0.6820,0.7411
744824,7/24/2024,0.72600000000000000,0.6976093169791816,0.6799999999999999,0.6873817996137421,0.7260,0.6976,0.6800,0.6874
744825,8/2/2024,0.73200000000000000,0.7217698342874124,0.68300000000000000,0.6917058251810568,0.7320,0.7218,0.6830,0.6917
744826,8/4/2024,0.73200000000000000,0.6746756166084886,0.6839999999999999,0.7009688201847346,0.7320,0.6747,0.6840,0.7010
744827,7/25/2024,0.73200000000000000,0.6627003203950282,0.67900000000000000,0.7764226247269306,0.7320,0.6627,0.6790,0.7764
744828,7/23/2024,0.72600000000000000,0.8054163681977982,0.6819999999999999,0.7321252951913355,0.7260,0.8054,0.6820,0.7321
744829,7/19/2024,0.70400000000000000,0.7181158840803015,0.67900000000000000,0.7888932374737527,0.7040,0.7181,0.6790,0.7889
744830,7/20/2024,0.70200000000000000,0.6779995120310172,0.68100000000000000,0.7136970448191808,0.7020,0.6780,0.6810,0.7137
744831,7/21/2024,0.70200000000000000,0.7010473200431544,0.6819999999999999,0.6884201522606175,0.7020,0.7010,0.6820,0.6884
744832,7/7/2024,0.6910000000000001,0.6963918928973054,0.6799999999999999,0.7285348009898547,0.6910,0.6964,0.6800,0.7285
744833,7/8/2024,0.69200000000000000,0.7372043765079854,0.68100000000000000,0.67065475696858100,0.6920,0.7372,0.6810,0.6707
744834,7/4/2024,0.74100000000000000,0.7331311044935831,0.67100000000000000,0.6748999860130745,0.7410,0.7331,0.6710,0.6749
744835,7/6/2024,0.69000000000000000,0.6966130650124087,0.67300000000000000,0.7046253774518926,0.6900,0.6966,0.6730,0.7046
744836,7/5/2024,0.6890000000000001,0.6330990097441296,0.6699999999999999,0.7833658883429195,0.6890,0.6331,0.6700,0.7834
