"game_id","date_played","away_team_id","home_team_id","away_score","home_score","winner","loser","created_at"
"746739","2024-03-31",120,113,5,6,"home","away","2025-05-19 12:45:14.769254-04"
"746090","2024-03-31",134,146,9,7,"away","home","2025-05-19 12:45:14.769254-04"
"745845","2024-03-31",158,121,4,1,"away","home","2025-05-19 12:45:14.769254-04"
"745115","2024-03-31",141,139,9,2,"away","home","2025-05-19 12:45:14.769254-04"
"746815","2024-03-31",116,145,3,2,"away","home","2025-05-19 12:45:14.769254-04"
"746413","2024-03-31",147,117,4,3,"away","home","2025-05-19 12:45:14.769254-04"
"746332","2024-03-31",142,118,0,11,"home","away","2025-05-19 12:45:14.769254-04"
"745035","2024-03-31",112,140,9,5,"away","home","2025-05-19 12:45:14.769254-04"
"747060","2024-03-28",108,110,3,11,"home","away","2025-05-19 12:45:13.987309-04"
"746821","2024-03-28",116,145,1,0,"away","home","2025-05-19 12:45:13.987309-04"
"746335","2024-03-28",142,118,4,1,"away","home","2025-05-19 12:45:13.987309-04"
"746737","2024-03-28",120,113,2,8,"home","away","2025-05-19 12:45:13.987309-04"
"745683","2024-03-31",114,133,3,4,"home","away","2025-05-19 12:45:14.769254-04"
"745039","2024-03-28",112,140,3,4,"home","away","2025-05-19 12:45:13.987309-04"
"747222","2024-03-31",115,109,1,5,"home","away","2025-05-19 12:45:14.769254-04"
"745279","2024-03-31",111,136,5,1,"away","home","2025-05-19 12:45:14.769254-04"
"745438","2024-03-31",137,135,4,13,"home","away","2025-05-19 12:45:14.769254-04"
"745116","2024-03-28",141,139,8,2,"away","home","2025-05-19 12:45:13.987309-04"
"746089","2024-03-28",134,146,6,5,"away","home","2025-05-19 12:45:13.987309-04"
"746418","2024-03-28",147,117,5,4,"away","home","2025-05-19 12:45:13.987309-04"
"747224","2024-03-28",115,109,1,16,"home","away","2025-05-19 12:45:13.987309-04"
"745283","2024-03-28",111,136,6,4,"away","home","2025-05-19 12:45:13.987309-04"
"745687","2024-03-28",114,133,8,0,"away","home","2025-05-19 12:45:13.987309-04"
"745445","2024-03-28",137,135,4,6,"home","away","2025-05-19 12:45:13.987309-04"
"746165","2024-03-28",138,119,1,7,"home","away","2025-05-19 12:45:13.987309-04"
"745119","2024-03-30",141,139,1,5,"home","away","2025-05-19 12:45:14.497136-04"
"746166","2024-03-31",138,119,4,5,"home","away","2025-05-19 12:45:14.769254-04"
"745436","2024-03-30",137,135,9,6,"away","home","2025-05-19 12:45:14.497136-04"
"745599","2024-03-30",144,143,12,4,"away","home","2025-05-19 12:45:14.497136-04"
"747063","2024-03-30",108,110,4,13,"home","away","2025-05-19 12:45:14.497136-04"
"746736","2024-03-30",120,113,7,6,"away","home","2025-05-19 12:45:14.497136-04"
"746087","2024-03-30",134,146,9,3,"away","home","2025-05-19 12:45:14.497136-04"
"745850","2024-03-30",158,121,7,6,"away","home","2025-05-19 12:45:14.497136-04"
"746818","2024-03-30",116,145,7,6,"away","home","2025-05-19 12:45:14.497136-04"
"746410","2024-03-30",147,117,5,3,"away","home","2025-05-19 12:45:14.497136-04"
"746333","2024-03-30",142,118,5,1,"away","home","2025-05-19 12:45:14.497136-04"
"745848","2024-03-29",158,121,3,1,"away","home","2025-05-19 12:45:14.231812-04"
"745604","2024-03-29",144,143,9,3,"away","home","2025-05-19 12:45:14.231812-04"
"745682","2024-03-29",114,133,6,4,"away","home","2025-05-19 12:45:14.231812-04"
"746091","2024-03-29",134,146,7,2,"away","home","2025-05-19 12:45:14.231812-04"
"745117","2024-03-29",141,139,2,8,"home","away","2025-05-19 12:45:14.231812-04"
"746412","2024-03-29",147,117,7,1,"away","home","2025-05-19 12:45:14.231812-04"
"745435","2024-03-29",137,135,8,3,"away","home","2025-05-19 12:45:14.231812-04"
"747223","2024-03-29",115,109,3,7,"home","away","2025-05-19 12:45:14.231812-04"
"746167","2024-03-29",138,119,3,6,"home","away","2025-05-19 12:45:14.231812-04"
"745276","2024-03-29",111,136,0,1,"home","away","2025-05-19 12:45:14.231812-04"
"745037","2024-03-30",112,140,2,11,"home","away","2025-05-19 12:45:14.497136-04"
"745684","2024-03-30",114,133,12,3,"away","home","2025-05-19 12:45:14.497136-04"
"747221","2024-03-30",115,109,9,4,"away","home","2025-05-19 12:45:14.497136-04"
"745278","2024-03-30",111,136,3,4,"home","away","2025-05-19 12:45:14.497136-04"
"746168","2024-03-30",138,119,6,5,"away","home","2025-05-19 12:45:14.497136-04"
"745602","2024-03-31",144,143,4,5,"home","away","2025-05-19 12:45:14.769254-04"
"747062","2024-03-31",108,110,4,1,"away","home","2025-05-19 12:45:14.769254-04"
"744875","2024-04-01",134,120,8,4,"away","home","2025-05-19 12:45:15.008928-04"
"746170","2024-04-01",137,119,3,8,"home","away","2025-05-19 12:45:15.008928-04"
"747058","2024-04-01",118,110,4,6,"home","away","2025-05-19 12:45:15.008928-04"
"745600","2024-04-01",113,143,6,3,"away","home","2025-05-19 12:45:15.008928-04"
"746085","2024-04-01",108,146,7,4,"away","home","2025-05-19 12:45:15.008928-04"
"745109","2024-04-01",140,139,9,3,"away","home","2025-05-19 12:45:15.008928-04"
"745842","2024-04-01",116,121,5,0,"away","home","2025-05-19 12:45:15.008928-04"
"746899","2024-04-01",115,112,0,5,"home","away","2025-05-19 12:45:15.008928-04"
"746409","2024-04-01",141,117,0,10,"home","away","2025-05-19 12:45:15.008928-04"
"747218","2024-04-01",147,109,5,2,"away","home","2025-05-19 12:45:15.008928-04"
"745675","2024-04-01",111,133,9,0,"away","home","2025-05-19 12:45:15.008928-04"
"745277","2024-04-01",114,136,4,5,"home","away","2025-05-19 12:45:15.008928-04"
"745437","2024-04-01",138,135,6,2,"away","home","2025-05-19 12:45:15.008928-04"
"746814","2024-04-02",144,145,2,3,"home","away","2025-05-19 12:45:15.275987-04"
"746898","2024-04-02",115,112,2,12,"home","away","2025-05-19 12:45:15.275987-04"
"747057","2024-04-02",118,110,4,1,"away","home","2025-05-19 12:45:15.275987-04"
"745598","2024-04-02",113,143,4,9,"home","away","2025-05-19 12:45:15.275987-04"
"746086","2024-04-02",108,146,3,1,"away","home","2025-05-19 12:45:15.275987-04"
"746009","2024-04-02",142,158,2,3,"home","away","2025-05-19 12:45:15.275987-04"
"745111","2024-04-02",140,139,2,5,"home","away","2025-05-19 12:45:15.275987-04"
"745680","2024-04-02",111,133,5,4,"away","home","2025-05-19 12:45:15.275987-04"
"747220","2024-04-02",147,109,0,7,"home","away","2025-05-19 12:45:15.275987-04"
"745273","2024-04-02",114,136,5,2,"away","home","2025-05-19 12:45:15.275987-04"
"745439","2024-04-02",138,135,5,2,"away","home","2025-05-19 12:45:15.275987-04"
"746411","2024-04-02",141,117,2,1,"away","home","2025-05-19 12:45:15.275987-04"
"746169","2024-04-02",137,119,4,5,"home","away","2025-05-19 12:45:15.275987-04"
"746083","2024-04-03",108,146,10,2,"away","home","2025-05-19 12:45:15.54753-04"
"746008","2024-04-03",142,158,7,3,"away","home","2025-05-19 12:45:15.54753-04"
"745114","2024-04-03",140,139,4,1,"away","home","2025-05-19 12:45:15.54753-04"
"744874","2024-04-05",143,120,4,0,"away","home","2025-05-19 12:45:15.940763-04"
"745678","2024-04-03",111,133,1,0,"away","home","2025-05-19 12:45:15.54753-04"
"747219","2024-04-03",147,109,6,5,"away","home","2025-05-19 12:45:15.54753-04"
"746733","2024-04-05",121,113,3,2,"away","home","2025-05-19 12:45:15.940763-04"
"745275","2024-04-03",114,136,8,0,"away","home","2025-05-19 12:45:15.54753-04"
"745440","2024-04-03",138,135,2,3,"home","away","2025-05-19 12:45:15.54753-04"
"745033","2024-04-05",117,140,2,10,"home","away","2025-05-19 12:45:15.940763-04"
"745764","2024-04-05",141,147,3,0,"away","home","2025-05-19 12:45:15.940763-04"
"746328","2024-04-05",145,118,1,2,"home","away","2025-05-19 12:45:15.940763-04"
"746007","2024-04-05",136,158,5,6,"home","away","2025-05-19 12:45:15.940763-04"
"747059","2024-04-03",118,110,3,4,"home","away","2025-05-19 12:45:15.54753-04"
"747143","2024-04-05",109,144,5,6,"home","away","2025-05-19 12:45:15.940763-04"
"746900","2024-04-03",115,112,8,9,"home","away","2025-05-19 12:45:15.54753-04"
"745603","2024-04-03",113,143,4,1,"away","home","2025-05-19 12:45:15.54753-04"
"746407","2024-04-03",141,117,0,8,"home","away","2025-05-19 12:45:15.54753-04"
"746163","2024-04-03",137,119,4,5,"home","away","2025-05-19 12:45:15.54753-04"
"744869","2024-04-03",134,120,3,5,"home","away","2025-05-19 12:45:15.54753-04"
"745844","2024-04-04",116,121,6,3,"away","home","2025-05-19 12:45:15.739571-04"
"745843","2024-04-04",116,121,1,2,"home","away","2025-05-19 12:45:15.739571-04"
"745361","2024-04-05",135,137,2,3,"home","away","2025-05-19 12:45:15.940763-04"
"746249","2024-04-05",111,108,8,6,"away","home","2025-05-19 12:45:15.940763-04"
"745200","2024-04-04",146,138,5,8,"home","away","2025-05-19 12:45:15.739571-04"
"745928","2024-04-04",114,142,4,2,"away","home","2025-05-19 12:45:15.739571-04"
"744870","2024-04-04",134,120,7,4,"away","home","2025-05-19 12:45:15.739571-04"
"746327","2024-04-04",145,118,1,10,"home","away","2025-05-19 12:45:15.739571-04"
"746576","2024-04-05",139,115,7,10,"home","away","2025-05-19 12:45:15.940763-04"
"747141","2024-04-07",109,144,2,5,"home","away","2025-05-19 12:45:16.507657-04"
"745523","2024-04-07",110,134,2,3,"home","away","2025-05-19 12:45:16.507657-04"
"745765","2024-04-07",141,147,3,8,"home","away","2025-05-19 12:45:16.507657-04"
"744871","2024-04-07",143,120,2,3,"home","away","2025-05-19 12:45:16.507657-04"
"746734","2024-04-07",121,113,3,1,"away","home","2025-05-19 12:45:16.507657-04"
"746493","2024-04-07",133,116,7,1,"away","home","2025-05-19 12:45:16.507657-04"
"747140","2024-04-06",109,144,8,9,"home","away","2025-05-19 12:45:16.215465-04"
"746497","2024-04-05",133,116,4,5,"home","away","2025-05-19 12:45:15.940763-04"
"745524","2024-04-05",110,134,5,2,"away","home","2025-05-19 12:45:15.940763-04"
"746897","2024-04-05",119,112,7,9,"home","away","2025-05-19 12:45:15.940763-04"
"746330","2024-04-07",145,118,3,5,"home","away","2025-05-19 12:45:16.507657-04"
"746003","2024-04-07",136,158,4,12,"home","away","2025-05-19 12:45:16.507657-04"
"745198","2024-04-07",146,138,10,3,"away","home","2025-05-19 12:45:16.507657-04"
"746574","2024-04-07",139,115,3,2,"away","home","2025-05-19 12:45:16.507657-04"
"745522","2024-04-06",110,134,4,5,"home","away","2025-05-19 12:45:16.215465-04"
"745766","2024-04-06",141,147,8,9,"home","away","2025-05-19 12:45:16.215465-04"
"744873","2024-04-06",143,120,5,2,"away","home","2025-05-19 12:45:16.215465-04"
"746731","2024-04-06",121,113,6,9,"home","away","2025-05-19 12:45:16.215465-04"
"746498","2024-04-06",133,116,4,0,"away","home","2025-05-19 12:45:16.215465-04"
"746329","2024-04-06",145,118,0,3,"home","away","2025-05-19 12:45:16.215465-04"
"745926","2024-04-06",114,142,3,1,"away","home","2025-05-19 12:45:16.215465-04"
"746006","2024-04-06",136,158,5,3,"away","home","2025-05-19 12:45:16.215465-04"
"745197","2024-04-06",146,138,1,3,"home","away","2025-05-19 12:45:16.215465-04"
"746896","2024-04-06",119,112,4,1,"away","home","2025-05-19 12:45:16.215465-04"
"746575","2024-04-06",139,115,8,6,"away","home","2025-05-19 12:45:16.215465-04"
"745359","2024-04-06",135,137,4,0,"away","home","2025-05-19 12:45:16.215465-04"
"746248","2024-04-06",111,108,1,2,"home","away","2025-05-19 12:45:16.215465-04"
"745031","2024-04-06",117,140,2,7,"home","away","2025-05-19 12:45:16.215465-04"
"745362","2024-04-07",135,137,2,3,"home","away","2025-05-19 12:45:16.507657-04"
"746251","2024-04-07",111,108,12,2,"away","home","2025-05-19 12:45:16.507657-04"
"746895","2024-04-07",119,112,1,8,"home","away","2025-05-19 12:45:16.507657-04"
"745032","2024-04-07",117,140,3,1,"away","home","2025-05-19 12:45:16.507657-04"
"745034","2024-04-08",117,140,10,5,"away","home","2025-05-19 12:45:16.720653-04"
"745432","2024-04-08",112,135,8,9,"home","away","2025-05-19 12:45:16.720653-04"
"745520","2024-04-08",116,134,4,7,"home","away","2025-05-19 12:45:16.720653-04"
"746654","2024-04-08",145,114,0,4,"home","away","2025-05-19 12:45:16.720653-04"
"746735","2024-04-08",158,113,8,10,"home","away","2025-05-19 12:45:16.720653-04"
"745761","2024-04-08",146,147,0,7,"home","away","2025-05-19 12:45:16.720653-04"
"744956","2024-04-08",136,141,2,5,"home","away","2025-05-19 12:45:16.720653-04"
"747142","2024-04-08",121,144,8,7,"away","home","2025-05-19 12:45:16.720653-04"
"745925","2024-04-08",119,142,4,2,"away","home","2025-05-19 12:45:16.720653-04"
"745194","2024-04-08",143,138,5,3,"away","home","2025-05-19 12:45:16.720653-04"
"746569","2024-04-08",109,115,5,7,"home","away","2025-05-19 12:45:16.720653-04"
"746252","2024-04-08",139,108,1,7,"home","away","2025-05-19 12:45:16.720653-04"
"745363","2024-04-08",120,137,8,1,"away","home","2025-05-19 12:45:16.720653-04"
"745517","2024-04-09",116,134,5,3,"away","home","2025-05-19 12:45:17.017943-04"
"746981","2024-04-09",110,111,7,1,"away","home","2025-05-19 12:45:17.017943-04"
"746655","2024-04-10",145,114,6,7,"home","away","2025-05-19 12:45:17.28903-04"
"745429","2024-04-10",112,135,2,10,"home","away","2025-05-19 12:45:17.28903-04"
"745763","2024-04-10",146,147,5,2,"away","home","2025-05-19 12:45:17.28903-04"
"746728","2024-04-10",158,113,7,2,"away","home","2025-05-19 12:45:17.28903-04"
"746323","2024-04-10",117,118,2,11,"home","away","2025-05-19 12:45:17.28903-04"
"745024","2024-04-10",133,140,2,6,"home","away","2025-05-19 12:45:17.28903-04"
"746980","2024-04-10",110,111,7,5,"away","home","2025-05-19 12:45:17.28903-04"
"746732","2024-04-09",158,113,9,5,"away","home","2025-05-19 12:45:17.017943-04"
"747138","2024-04-09",121,144,5,6,"home","away","2025-05-19 12:45:17.017943-04"
"747137","2024-04-11",121,144,16,4,"away","home","2025-05-19 12:45:17.486711-04"
"746322","2024-04-11",117,118,3,13,"home","away","2025-05-19 12:45:17.486711-04"
"745029","2024-04-11",133,140,1,0,"away","home","2025-05-19 12:45:17.486711-04"
"746977","2024-04-11",110,111,9,4,"away","home","2025-05-19 12:45:17.486711-04"
"745924","2024-04-09",119,142,6,3,"away","home","2025-05-19 12:45:17.017943-04"
"745195","2024-04-09",143,138,0,3,"home","away","2025-05-19 12:45:17.017943-04"
"744957","2024-04-09",136,141,3,5,"home","away","2025-05-19 12:45:17.017943-04"
"746571","2024-04-09",109,115,3,2,"away","home","2025-05-19 12:45:17.017943-04"
"745357","2024-04-09",120,137,5,3,"away","home","2025-05-19 12:45:17.017943-04"
"746250","2024-04-09",139,108,6,4,"away","home","2025-05-19 12:45:17.017943-04"
"746653","2024-04-09",145,114,7,5,"away","home","2025-05-19 12:45:17.017943-04"
"745433","2024-04-09",112,135,5,1,"away","home","2025-05-19 12:45:17.017943-04"
"745762","2024-04-09",146,147,2,3,"home","away","2025-05-19 12:45:17.017943-04"
"746326","2024-04-09",117,118,3,4,"home","away","2025-05-19 12:45:17.017943-04"
"745030","2024-04-09",133,140,4,3,"away","home","2025-05-19 12:45:17.017943-04"
"745923","2024-04-10",119,142,2,3,"home","away","2025-05-19 12:45:17.28903-04"
"745196","2024-04-10",143,138,4,3,"away","home","2025-05-19 12:45:17.28903-04"
"744950","2024-04-10",136,141,6,1,"away","home","2025-05-19 12:45:17.28903-04"
"746573","2024-04-10",109,115,5,3,"away","home","2025-05-19 12:45:17.28903-04"
"745355","2024-04-10",120,137,1,7,"home","away","2025-05-19 12:45:17.28903-04"
"746247","2024-04-10",139,108,4,2,"away","home","2025-05-19 12:45:17.28903-04"
"745601","2024-04-11",134,143,1,5,"home","away","2025-05-19 12:45:17.486711-04"
"746978","2024-04-12",108,111,7,0,"away","home","2025-05-19 12:45:17.709171-04"
"746491","2024-04-12",142,116,2,8,"home","away","2025-05-19 12:45:17.709171-04"
"745838","2024-04-12",118,121,1,6,"home","away","2025-05-19 12:45:17.709171-04"
"746812","2024-04-12",113,145,11,1,"away","home","2025-05-19 12:45:17.709171-04"
"744954","2024-04-12",115,141,12,4,"away","home","2025-05-19 12:45:17.709171-04"
"747055","2024-04-12",158,110,11,1,"away","home","2025-05-19 12:45:17.709171-04"
"746408","2024-04-12",140,117,12,8,"away","home","2025-05-19 12:45:17.709171-04"
"745596","2024-04-12",134,143,5,2,"away","home","2025-05-19 12:45:17.709171-04"
"745679","2024-04-12",120,133,1,2,"home","away","2025-05-19 12:45:17.709171-04"
"746084","2024-04-12",144,146,8,1,"away","home","2025-05-19 12:45:17.709171-04"
"745112","2024-04-12",137,139,1,2,"home","away","2025-05-19 12:45:17.709171-04"
"747217","2024-04-12",138,109,9,6,"away","home","2025-05-19 12:45:17.709171-04"
"746162","2024-04-12",135,119,8,7,"away","home","2025-05-19 12:45:17.709171-04"
"745274","2024-04-12",112,136,2,4,"home","away","2025-05-19 12:45:17.709171-04"
"746489","2024-04-13",142,116,11,5,"away","home","2025-05-19 12:45:17.976047-04"
"746656","2024-04-13",147,114,3,2,"away","home","2025-05-19 12:45:17.976047-04"
"747054","2024-04-13",158,110,11,5,"away","home","2025-05-19 12:45:17.976047-04"
"746979","2024-04-13",108,111,2,7,"home","away","2025-05-19 12:45:17.976047-04"
"745594","2024-04-13",134,143,3,4,"home","away","2025-05-19 12:45:17.976047-04"
"744953","2024-04-13",115,141,3,5,"home","away","2025-05-19 12:45:17.976047-04"
"746082","2024-04-13",144,146,1,5,"home","away","2025-05-19 12:45:17.976047-04"
"746658","2024-04-13",147,114,8,2,"away","home","2025-05-19 12:45:17.976047-04"
"746490","2024-04-13",142,116,4,1,"away","home","2025-05-19 12:45:17.976047-04"
"745839","2024-04-13",118,121,11,7,"away","home","2025-05-19 12:45:17.976047-04"
"745110","2024-04-13",137,139,11,2,"away","home","2025-05-19 12:45:17.976047-04"
"746811","2024-04-13",113,145,5,0,"away","home","2025-05-19 12:45:17.976047-04"
"746405","2024-04-13",140,117,2,9,"home","away","2025-05-19 12:45:17.976047-04"
"745676","2024-04-13",120,133,3,1,"away","home","2025-05-19 12:45:17.976047-04"
"747215","2024-04-13",138,109,2,4,"home","away","2025-05-19 12:45:17.976047-04"
"745272","2024-04-13",112,136,4,1,"away","home","2025-05-19 12:45:17.976047-04"
"746161","2024-04-13",135,119,2,5,"home","away","2025-05-19 12:45:17.976047-04"
"747056","2024-04-14",158,110,4,6,"home","away","2025-05-19 12:45:18.230126-04"
